Date,Adj Close,Close,High,Low,Open,Volume
2023-01-03 00:00:00+00:00,123.9046326,125.0699997,130.8999939,124.1699982,130.2799988,112117500
2023-01-04 00:00:00+00:00,125.1826172,126.3600006,128.6600037,125.0800018,126.8899994,89113600
2023-01-05 00:00:00+00:00,123.8550873,125.0199966,127.7699966,124.7600021,127.1299973,80962700
2023-01-06 00:00:00+00:00,128.4122467,129.6199951,130.2899933,124.8899994,126.0100021,87754700
2023-01-09 00:00:00+00:00,128.9372864,130.1499939,133.4100037,129.8899994,130.4700012,70790800
2023-01-10 00:00:00+00:00,129.5118866,130.7299957,131.2599945,128.1199951,130.2599945,63896200
2023-01-11 00:00:00+00:00,132.24617,133.4900055,133.5099945,130.4600067,131.25,69458900
2023-01-12 00:00:00+00:00,132.1669159,133.4100037,134.2599945,131.4400024,133.8800049,71379600
2023-01-13 00:00:00+00:00,133.5043335,134.7599945,134.9199982,131.6600037,132.0299988,57809700
2023-01-17 00:00:00+00:00,134.6733551,135.9400024,137.2899933,134.1300049,134.8300018,63646600
2023-01-18 00:00:00+00:00,133.9501648,135.2100067,138.6100006,135.0299988,136.8200073,69672800
2023-01-19 00:00:00+00:00,134.0095978,135.2700043,136.25,133.7700043,134.0800018,58280400
2023-01-20 00:00:00+00:00,136.5853577,137.8699951,138.0200043,134.2200012,135.2799988,80223600
2023-01-23 00:00:00+00:00,139.7951813,141.1100006,143.3200073,137.8999939,138.1199951,81760300
2023-01-24 00:00:00+00:00,141.2019348,142.5299988,143.1600037,140.3000031,140.3099976,66435100
2023-01-25 00:00:00+00:00,140.5381775,141.8600006,142.4299927,138.8099976,140.8899994,65799300
2023-01-26 00:00:00+00:00,142.6186371,143.9600067,144.25,141.8999939,143.1699982,54105100
2023-01-27 00:00:00+00:00,144.5702667,145.9299927,147.2299957,143.0800018,143.1600037,70555800
2023-01-30 00:00:00+00:00,141.6675568,143,145.5500031,142.8500061,144.9600067,64015300
2023-01-31 00:00:00+00:00,142.9455414,144.2899933,144.3399963,142.2799988,142.6999969,65874500
2023-02-01 00:00:00+00:00,144.0749207,145.4299927,146.6100006,141.3200073,143.9700012,77663600
2023-02-02 00:00:00+00:00,149.4147339,150.8200073,151.1799927,148.1699982,148.8999939,118339000
2023-02-03 00:00:00+00:00,153.0603943,154.5,157.3800049,147.8300018,148.0299988,154357300
2023-02-06 00:00:00+00:00,150.3162079,151.7299957,153.1000061,150.7799988,152.5700073,69858300
2023-02-07 00:00:00+00:00,153.2090149,154.6499939,155.2299957,150.6399994,150.6399994,83322600
2023-02-08 00:00:00+00:00,150.504425,151.9199982,154.5800018,151.1699982,153.8800049,64120100
2023-02-09 00:00:00+00:00,149.4642029,150.8699951,154.3300018,150.4199982,153.7799988,56007100
2023-02-10 00:00:00+00:00,149.8313446,151.0099945,151.3399963,149.2200012,149.4600067,57450700
2023-02-13 00:00:00+00:00,152.6492004,153.8500061,154.2599945,150.9199982,150.9499969,62199000
2023-02-14 00:00:00+00:00,152.0042419,153.1999969,153.7700043,150.8600006,152.1199951,61707600
2023-02-15 00:00:00+00:00,154.1176147,155.3300018,155.5,152.8800049,153.1100006,65573800
2023-02-16 00:00:00+00:00,152.5102844,153.7100067,156.3300018,153.3500061,153.5099945,68167900
2023-02-17 00:00:00+00:00,151.3593292,152.5500031,153,150.8500061,152.3500061,59144100
2023-02-21 00:00:00+00:00,147.321106,148.4799957,151.3000031,148.4100037,150.1999969,58867200
2023-02-22 00:00:00+00:00,147.7477417,148.9100037,149.9499969,147.1600037,148.8699951,51011300
2023-02-23 00:00:00+00:00,148.2339172,149.3999939,150.3399963,147.2400055,150.0899963,48394200
2023-02-24 00:00:00+00:00,145.5649261,146.7100067,147.1900024,145.7200012,147.1100006,55469600
2023-02-27 00:00:00+00:00,146.7654724,147.9199982,149.1699982,147.4499969,147.7100067,44998500
2023-02-28 00:00:00+00:00,146.2594452,147.4100037,149.0800018,146.8300018,147.0500031,50547000
2023-03-01 00:00:00+00:00,144.1758575,145.3099976,147.2299957,145.0099945,146.8300018,55479000
2023-03-02 00:00:00+00:00,144.7711639,145.9100037,146.7100067,143.8999939,144.3800049,52238100
2023-03-03 00:00:00+00:00,149.851181,151.0299988,151.1100006,147.3300018,148.0399933,70732300
2023-03-06 00:00:00+00:00,152.6293488,153.8300018,156.3000031,153.4600067,153.7899933,87558000
2023-03-07 00:00:00+00:00,150.4167633,151.6000061,154.0299988,151.1300049,153.6999969,56182000
2023-03-08 00:00:00+00:00,151.6768341,152.8699951,153.4700012,151.8300018,152.8099976,47204800
2023-03-09 00:00:00+00:00,149.4146271,150.5899963,154.5399933,150.2299957,153.5599976,53833600
2023-03-10 00:00:00+00:00,147.3409424,148.5,150.9400024,147.6100006,150.2100067,68572400
2023-03-13 00:00:00+00:00,149.295578,150.4700012,153.1399994,147.6999969,147.8099976,84457100
2023-03-14 00:00:00+00:00,151.3990021,152.5899963,153.3999939,150.1000061,151.2799988,73695900
2023-03-15 00:00:00+00:00,151.7959137,152.9900055,153.25,149.9199982,151.1900024,77167900
2023-03-16 00:00:00+00:00,154.6335754,155.8500061,156.4600067,151.6399994,152.1600037,76161100
2023-03-17 00:00:00+00:00,153.7901917,155,156.7400055,154.2799988,156.0800018,98944600
2023-03-20 00:00:00+00:00,156.1714478,157.3999939,157.8200073,154.1499939,155.0700073,73641400
2023-03-21 00:00:00+00:00,158.0367889,159.2799988,159.3999939,156.5399933,157.3200073,73938300
2023-03-22 00:00:00+00:00,156.5981293,157.8300018,162.1399994,157.8099976,159.3000031,75701800
2023-03-23 00:00:00+00:00,157.6895294,158.9299927,161.5500031,157.6799927,158.8300018,67622100
2023-03-24 00:00:00+00:00,158.9992218,160.25,160.3399963,157.8500061,158.8600006,59196500
2023-03-27 00:00:00+00:00,157.0445862,158.2799988,160.7700043,157.8699951,159.9400024,52390300
2023-03-28 00:00:00+00:00,156.4195099,157.6499939,158.4900055,155.9799957,157.9700012,45992200
2023-03-29 00:00:00+00:00,159.5151672,160.7700043,161.0500031,159.3500061,159.3699951,51305700
2023-03-30 00:00:00+00:00,161.0927582,162.3600006,162.4700012,161.2700043,161.5299988,49501700
2023-03-31 00:00:00+00:00,163.612915,164.8999939,165,161.9100037,162.4400024,68749800
2023-04-03 00:00:00+00:00,164.8730011,166.1699982,166.2899933,164.2200012,164.2700043,56976200
2023-04-04 00:00:00+00:00,164.3372345,165.6300049,166.8399963,165.1100006,166.6000061,46278300
2023-04-05 00:00:00+00:00,162.4818115,163.7599945,165.0500031,161.8000031,164.7400055,51511700
2023-04-06 00:00:00+00:00,163.3748169,164.6600037,164.9600067,162,162.4299927,45390100
2023-04-10 00:00:00+00:00,160.7653351,162.0299988,162.0299988,160.0800018,161.4199982,47716900
2023-04-11 00:00:00+00:00,159.5449371,160.8000031,162.3600006,160.5099945,162.3500061,47644200
2023-04-12 00:00:00+00:00,158.8504028,160.1000061,162.0599976,159.7799988,161.2200012,50133100
2023-04-13 00:00:00+00:00,164.2677612,165.5599976,165.8000031,161.4199982,161.6300049,68445600
2023-04-14 00:00:00+00:00,163.920517,165.2100067,166.3200073,163.8200073,164.5899963,49386500
2023-04-17 00:00:00+00:00,163.9403534,165.2299957,165.3899994,164.0299988,165.0899963,41516200
2023-04-18 00:00:00+00:00,165.1706848,166.4700012,167.4100037,165.6499939,166.1000061,49923000
